,GT_rho,GT_x,GT_y,x,y,rho,psi,etta,omega,time
0,10,8.660254037844387,4.999999999999999,-2.180038331669099,-2.5463548364304796,3.3520874213778318,3.4271919857343196,4.1887902047863905,5.827147663916552,81.21103394000238
1,1,0.8660254037844387,0.49999999999999994,-0.07122688220642126,1.3288319784130385,1.3307395295856952,2.8559933214452666,6.283185307179586,5.928489362419448,81.95769518300222
2,2,1.7320508075688774,0.9999999999999999,-0.07122688220642126,1.3288319784130385,1.3307395295856952,2.8559933214452666,6.283185307179586,5.928489362419448,82.29356245700183
3,3,2.598076211353316,1.4999999999999998,-2.180038331669099,-2.5463548364304796,3.3520874213778318,3.4271919857343196,4.1887902047863905,5.928489362419448,82.35099952699966
4,4,3.464101615137755,1.9999999999999998,-2.180038331669099,-2.5463548364304796,3.3520874213778318,3.4271919857343196,4.1887902047863905,5.928489362419448,82.364522777003
5,5,4.330127018922194,2.4999999999999996,-2.180038331669099,-2.5463548364304796,3.3520874213778318,3.4271919857343196,4.1887902047863905,5.928489362419448,82.62490921700373
6,6,5.196152422706632,2.9999999999999996,-2.180038331669099,-2.5463548364304796,3.3520874213778318,3.4271919857343196,4.1887902047863905,5.877818513168,80.6754978750032
7,7,6.062177826491071,3.4999999999999996,-2.180038331669099,-2.5463548364304796,3.3520874213778318,3.4271919857343196,4.1887902047863905,5.877818513168,81.97280359200522
8,8,6.92820323027551,3.9999999999999996,-2.180038331669099,-2.5463548364304796,3.3520874213778318,3.4271919857343196,4.1887902047863905,5.877818513168,86.93922777600528
9,9,7.794228634059948,4.499999999999999,-2.180038331669099,-2.5463548364304796,3.3520874213778318,3.4271919857343196,4.1887902047863905,5.827147663916552,83.43307311999524
