,GT_angle,GT_x,GT_y,angle,x,y,psi,etta,omega,time
0,0,3,4,2.177419354838719,-0.5456820609866745,-3.962532606509486,4.569589314312426,4.1887902047863905,5.928489362419448,86.15414660099987
1,108,3,4,-108.14516129032256,-0.5456820609866745,-3.962532606509486,4.569589314312426,4.1887902047863905,4.0029970908644135,84.02864761699993
2,144,3,4,-145.88709677419357,-0.5456820609866745,-3.962532606509486,4.569589314312426,4.1887902047863905,3.344276050595586,81.78629448299989
3,180,3,4,-180.7258064516129,-0.5456820609866745,-3.962532606509486,4.569589314312426,4.1887902047863905,2.736225859578207,81.8923299549997
4,216,3,4,-218.46774193548387,-0.5456820609866745,-3.962532606509486,4.569589314312426,4.1887902047863905,2.0775048193093792,82.70691683300038
5,252,3,4,-253.30645161290323,-0.5456820609866745,-3.962532606509486,4.569589314312426,4.1887902047863905,1.469454628292,80.13772529499965
6,288,3,4,-288.14516129032256,-0.5456820609866745,-3.962532606509486,4.569589314312426,4.1887902047863905,0.8614044372746207,80.8600888560004
7,324,3,4,-325.88709677419354,-0.5456820609866745,-3.962532606509486,4.569589314312426,4.1887902047863905,0.2026833970057931,83.37187170500056
8,36,3,4,-35.56451612903231,-0.5456820609866745,-3.962532606509486,4.569589314312426,4.1887902047863905,5.269768322150621,82.0341004460006
9,72,3,4,-70.40322580645159,-0.5456820609866745,-3.962532606509486,4.569589314312426,4.1887902047863905,4.661718131133242,82.17095641100059
