,GT_rho,GT_x,GT_y,x,y,rho,psi,etta,omega,time
0,5,5.0,0.0,-2.180038331669099,-2.5463548364304796,3.3520874213778318,3.4271919857343196,4.1887902047863905,5.928489362419448,88.10274675197434
1,5,-1.5450849718747368,4.755282581475768,2.678589091026346,-1.0538971259788579,2.8784611636622515,5.140787978601479,6.283185307179586,5.928489362419448,83.30156910102232
2,5,-4.045084971874736,2.9389262614623664,3.8477590650225735,0.7653668647301788,3.9231411216129217,6.283185307179586,6.283185307179586,5.928489362419448,78.74417605000781
3,5,-5.0,6.123233995736766e-16,3.8477590650225735,0.7653668647301796,3.9231411216129217,0.0,0.0,5.928489362419448,78.64489784400212
4,5,-4.045084971874737,-2.938926261462365,2.678589091026346,2.5846308554392166,3.7222514930420543,1.1423973285781066,0.0,5.928489362419448,78.94115824400797
5,5,-1.5450849718747377,-4.755282581475767,-1.8713363571290398,3.1971657417793073,3.7045605059062288,1.7135959928671598,2.0943951023931953,5.979160211670896,76.91488258400932
6,5,1.5450849718747361,-4.755282581475768,-1.8713363571290398,3.1971657417793073,3.7045605059062288,1.7135959928671598,2.0943951023931953,5.928489362419448,77.63748720000149
7,5,4.045084971874736,-2.9389262614623664,-3.505692627811465,1.780987971700301,3.9321494066264577,2.8559933214452666,2.0943951023931953,5.928489362419448,78.92719612599467
8,5,4.045084971874737,2.938926261462366,-0.5456820609866745,-3.962532606509486,3.999929195540032,4.569589314312426,4.1887902047863905,5.928489362419448,82.36895513799391
9,5,1.5450849718747373,4.755282581475767,-0.5456820609866745,-3.962532606509486,3.999929195540032,4.569589314312426,4.1887902047863905,5.928489362419448,80.47137761799968
